day,blocktime,blocktitle,type,extra,time,name,title,abstract,bio,video,slides
tue,9:00-9:45,Opening and Introduction,org,,9:00,"Calista Redmond, RISC-V International",Opening,,,T0M9qV_v3Fc,2023-06-06-09h00-Calista-REDMOND-slides.pdf
tue,9:00-9:45,Opening and Introduction,org,,9:20,"Christian Fabre, CEA",Welcome from the RISC-V Summit Europe Steering Committee,,,,2023-06-06-09h20-Christian-FABRE-slides.pdf
tue,9:00-9:45,Opening and Introduction,org,,9:30,"Daniel Müller-Gritschneder, Technical University Munich & Teresa Cervero, BSC",RISC-V Summit Europe Program Overview,,,,2023-06-06-09h30-Daniel-MÜLLER-GRITSCHNEDER-slides.pdf
tue,9:45-10:30 ,Keynotes,keynote,,9:45,"Mark Himelstein, RISC-V International ",RISC-V: The Road Ahead and Technical Update,,"Before RISC-V international Mark Himelstein was the President of Heavenstone, Inc. which concentrated on Strategic, Management, and Technology Consulting providing hardware and software product architecture, analysis, mentoring and interim management. Previously, Mark started Graphite Systems, Inc (acquired by EMC) where he was the VP of Engineering and CTO developing large Analytics Appliances using highly integrated FLASH memory. Prior to Graphite, Mark held positions as the CTO of Quantum Corp, Vice President of Solaris development engineering at Sun Microsystems and other technical management roles at Apple, Infoblox, and MIPS.",,2023-06-06-09h45-Mark-HIMELSTEIN-slides.pdf
tue,9:45-10:30 ,Keynotes,keynote,,10:00,"Rick O’Connor, OpenHW Group",Commercial Adoption of CORE-V Open-Source RISC-V Cores - Lessons Learned,"This talk will provide a brief overview of Open-Source HW activity across the industry, barriers to adoption of Open-Source HW and challenges associated with SoC design.  Lessons learned related to the OpenHW Group Governance model and commercial adoption of CORE-V Family of open source RISC-V cores will also be presented. The CORE-V family is an OpenHW Group project to develop, deploy, and execute pre-silicon functional verification and SoC based development kits of the CORE-V family of open-source RISC-V cores. Written in SystemVerilog, CORE-V open-source IP cores match the quality of IP offered by established commercial providers and are verified with state-of-the-art, auditable flows.","Rick O'Connor is Founder and serves as President & CEO of the OpenHW Group a not-for-profit, global organization driven by its members and individual contributors where hardware and software designers collaborate on open source cores, related IP, tools and software projects. Previously Rick was Executive Director of the RISC-V Foundation. Founded by Rick in 2015 with the support of over 40 Founding Members, the RISC-V Foundation currently comprises more than 400 members building an open, collaborative community of software and hardware innovators powering processor innovation. With many years of Executive level management experience in semiconductor and systems companies, Rick possesses a unique combination of business and technical skills and was responsible for the development of dozens of products accounting for over $750 million in revenue. Rick holds an Executive MBA degree from the University of Ottawa, Canada and is an honors graduate of the faculty of Electronics Engineering Technology at Algonquin College, Canada.",,2023-06-06-10h00-Rick-O'CONNOR-slides.pdf
tue,9:45-10:30 ,Keynotes,keynote,,10:15,"Balaji Baktha, Ventana Micro Systems",Paving the Road Ahead: RISC-V and Chiplet Technologies in Modern Automotive and Data Center Architectures,"This presentation will explore the frontier where cutting-edge computing intersects with the rapidly evolving automotive industry.  As cars become increasingly reliant on advanced technologies for safety, efficiency, and performance, new design paradigms are required.  Balaji will provide an exploration of how Ventana is leveraging the power of RISC-V and chiplet technologies to revolutionize how automotive manufacturers take control of their technology supply chain and enable differentiated platforms.  The session will provide insights into not only the technology itself but also into the broader implications for the automotive industry and manufacturers.","Balaji Baktha is the founder and CEO of Ventana Micro Systems, a leader in high-performance RISC-V processors. He is an experienced semiconductor executive and a serial technology entrepreneur and investor with a proven track record in founding and exiting several successful startups over more than 30 years in Silicon Valley. Balaji is a board member of RISC-V International as well as several other startups, and a Limited Partner and Senior Advisor at PE and VC funds. Prior to Ventana, Balaji was the founder and CEO of Veloce Technologies, the world’s first 64-bit ARM based high performance processor for cloud-compute (acquired by AppliedMicro). Before Veloce, Balaji was the VP and GM of the Communications Business at Marvell Semiconductor where he managed multiple product groups including compute, wired and wireless networking, and Enterprise Storage SoCs. Before Marvell, Balaji co-founded Platys, a startup that pioneered iSCSI storage networking and was subsequently acquired by Adaptec (now Microsemi). Prior to Platys, Balaji founded Shuttle Technologies (acquired by SCM Micro) to build the first digital media & storage I/O SoCs for Apple, Sony, and HP.",,2023-06-06-10h15-Balaji-BAKTHA-slides.pdf
tue,10:30-11:30,"Break, Booth, Posters & Demos ",break,Demo Theatre,10:40,"Kumar Sankaran, Ventana Micro Systems",Data Center Workloads on RISC-V,,,,
tue,10:30-11:30,"Break, Booth, Posters & Demos ",break,Demo Theatre,10:55,"Karol Gugala, Antmicro","Bare metal AI runtime deployment and analysis for a RISC-V accelerator with Kenning, Renode and IREE","Thanks to their increasing computational capabilities and the open ISA’ s ability to tailor silicon to specific use cases, RISC-V based microcontroller devices are an interesting target for Machine Learning workflows in low-power applications. To make the best of the constrained resources of MCUs, Antmicro’s Kenning open source AI/ML framework was extended with a bare-metal runtime backend, enabling use with RISC-V based devices that cannot - or don’t need to - run Linux. Kenning enables you to seamlessly develop, train, optimize and deploy ML models on various embedded targets and can automatically convert the model format between the most popular AI frameworks and optimize models for their target runtime. The metrics from the deployed models can be utilized to monitor various aspects of processing, from machine resource usage to result quality.  To further improve the developer experience, Kenning has been integrated with Renode, Antmicro’s open source, deterministic simulation framework. The integration of Kenning and Renode enables a hardware-less development flow and allows for complete insight into model execution and AI accelerator utilization. Renode provides a fully automated, reproducible execution environment, allowing a CI-based development of embedded models, optimization libraries, and AI accelerators. The demo will present a complete ML model deployment flow based on Kenning, targeting Google’s Springbok RISC-V AI accelerator and leveraging the RISC-V Vector Extension, fully simulated in Renode.","Karol Gugala is Engineering Manager at Antmicro, where he leads the software team and works with open source in various contexts - digital design, AI and low level software. Open source enthusiast - involved in a wide variety of FOSS projects and is Chairman of CHIPS Alliance Tools Workgroup. He has 10+ years of experience in low level software, VHDL, Linux and Verilog.  ",,
tue,10:30-11:30,"Break, Booth, Posters & Demos ",break,Demo Theatre,11:10,"Chris Morrison, Agile Analog",An innovative digitally wrapped analog IP subsystem for RISC-V applications,"Digital chip designers face a significant challenge when it comes to integrating the necessary analog circuitry to support their SoC designs. They can experience difficulties in obtaining appropriate analog IP for specific processes and foundries, and struggle with the integration of multiple analog IP blocks from different vendors into their systems. The integration of analog and digital at the mixed-signal boundary poses a particularly daunting and resource-intensive task, requiring specialized knowledge and tools. To address these challenges, Agile Analog present an innovative analog IP subsystem for RISC-V applications. This subsystem is designed to be customizable, and digitally wrapped, offering a novel solution that tackles many of the issues encountered by SoC designers with existing solutions. Specifically, Agile Analog’s subsystem includes a comprehensive set of analog IP components essential for a typical battery-powered IoT system, including a power management unit (PMU), a sleep management unit (SMU), and data converters. These IP components undergo thorough verification in both analog and digital environments, ensuring their reliability and performance, plus seamlessly connect to the MCU’s peripheral bus and are supplied with a SystemVerilog model, facilitating their integration into an existing SoC’s verification environment.  ",,,
tue,11:30-12:15,Keynotes,keynote,,11:30,Jon Taylor - Imperas Software Ltd,The RISC-V Verification Ecosystem with Open Standards and Commercial Tools,"The freedom of RISC-V represents both new innovations in design and also the migration of verification responsibility. This keynote highlights the challenges facing SoC teams as they adopt RISC-V and provides a perspective on how the use of new verification standards and methodologies drives down cost, quality risk, and development time.  ","Jon Taylor has over 20 years of experience in the semiconductor industry, working in technical areas from CPU verification to embedded software, and commercial areas including field applications and technology strategy. He has worked on multiple architectures including Arm, RISC-V and proprietary CPUs. He holds a degree from Southampton University in Electronic Engineering and is currently Director of Product Technology for Imperas working on technology to help enable the RISC-V revolution.  ",,2023-06-06-11h30-Jon-TAYLOR-slides.pdf
tue,11:30-12:15,Keynotes,keynote,,11:45,"Brett Cline, Codasip","RISC-V customization, HW/SW co-optimization, and custom compute","If you optimize your software for a general-purpose core there is a substantial risk that your algorithms are executed inefficiently and therefore run slowly. You can address this by creating fixed-function circuits designed to perform a specific set of operations. These hardware functions can be extremely fast, but because they are hard coded, it is difficult to modify or update them. So how can you achieve flexibility and performance? By combining both approaches. A key benefit of RISC-V customization is that you can create custom instructions tailored to your specific application needs.

To pick custom instructions correctly and create efficient implementations, software and hardware teams need to collaborate. By starting work earlier on processor customization, the software team can start developing their critical algorithms and uncover much sooner those potential gains that could not be achieved if the hardware was already frozen.  We call this Custom Compute, and its benefits extend beyond performance and energy efficiency. Custom Compute can also enable organizations to improve security by adding security features at the heart of the processor. A closer collaboration between hardware and software teams, supported by a strong methodology and by efficient tools, is the future standard of system design.",,,2023-06-06-11h45-Brett-CLINE-slides.pdf
tue,11:30-12:15,Keynotes,keynote,,12:00,"Charlie Su, Andes Technology",RISC-V is Firing on All Cylinders,"RISC-V has been adopted with a record-breaking speed in pretty much all applications from general-purpose tiny MCUs to datacenter AI/ML accelerator SoCs. In this keynote, we will give examples of RISC-V applications and solutions to support them; in particular, we will also analyze various approaches for matrix multiplication extension to embrace AI/ML acceleration directly in RISC-V architecture. In addition, ISO 26262 certified automotive electronics solutions have been highly sought after in recent years due to multiple catalysts. In the second part of the keynote, we will talk about how RISC-V solutions address such market, some successful examples, and new technical challenges we should look into.  ","Dr. Charlie Su is a Cofounder, President and CTO of Andes, a 18-year pure-play CPU IP vendor. Charlie’s main focus is on product definition, development and promotion. He spent over 12 years in the Silicon Valley with various technical and management positions at Sun Microsystems, Afara Websystems, C-Cube Microsystems, SGI/MIPS, and Intergraph. He made key contributions to several successful processors such as the Sun multi-core multi-threading Ultrasparc T1 and T2 processors, the C-Cube high-performance E-series MPEG media processors, the MIPS out-of-order R10K processor, and the Intergraph Clipper VLIW processor. Prior to starting Andes, he led the CPU and DSP development in Faraday Technology as Chief Architect. Charlie obtained his Ph.D. in CS from the University of Illinois at Urbana-Champaign, M.S. in CS from National Tsing-Hua University, and B.S. in EE from National Taiwan University.  ",,2023-06-06-12h00-Charlie-SUE-slides.pdf
tue,12:15-12:30,Technical Talk,technical,,12:15,"Daniele Rossi, University of Pisa",HW-SW Interface for RAS in RISC-V Architectures,"VASCO 2 (ASIC Vehicle for Component Security) integrates innovative, patented hardware security building blocks on 22 nm FD-SOI silicon. It enables all types of standard or customized tests to validate these technologies in operational conditions in order to characterize innovative security blocks and to prepare a transfer to industry. VASCO 2 highlights the relevance and characteristics of these hardware IPs for industry by matching current challenges in hardware security: securing processors, securing and accelerating pre- and post-quantum cryptography, modelization and characterization of True Random Number Generators (TRNG), securing memories, etc. With VASCO 2, manufacturers have access to comprehensive data on hardware security IP: security level, power consumption, silicon surface area, and impact on cycle time.  ",,,
